RefDes,Side,LocationX (Mil),LocationY (Mil),Rotation,Package,Value
R5,top,1693.8976377952756,557.846062992126,0,,10K
J1,top,547.0472440944882,62.00787401574803,0,CONN_USB,
BT1,bottom,866.1417322834645,661.4173228346457,0,,
C8,top,256.6929133858268,844.9779527559056,270,,0.1uF
C12,top,877.9527559055118,169.29133858267716,0,,0.1uF
R2,top,495.45846456692914,289.37007874015745,90,,22
J2,bottom,137.79527559055117,492.12598425196853,180,HDR8,
R3,top,363.68350393700786,947.8346456692914,180,,1K
C5,top,574.0297244094488,289.37007874015745,90,,1uF
R7,top,877.9527559055118,222.2021653543307,0,,10K
J4,bottom,1829.1338582677165,1522.0472440944882,180,HDR8,
C1,top,985.0393700787401,599.7211023622048,0,,10pF
C11,top,877.9527559055118,274.66220472440943,0,,0.1uF
C2,top,985.0393700787401,765.1714566929134,180,,10pF
R9,top,1693.8976377952756,738.357874015748,0,,10K
U2,top,1380.3149606299212,747.6377952755905,180,SO16,
C6,top,627.2614173228346,289.37007874015745,90,,1uF
C7,top,985.8547244094489,525.801377952756,180,,0.1uF
C9,top,719.7811023622047,946.8503937007874,180,,0.1uF
U1,top,557.4803149606299,651.1811023622047,90,TQFP44,
SW1,top,1432.4803149606298,263.38582677165357,270,,
C10,top,1693.8976377952756,655.4978346456693,180,,0.1uF
J5,bottom,136.2204724409449,1518.1102362204724,0,HDR8,
R8,top,1693.8976377952756,788.357874015748,0,,10K
R6,top,877.9527559055118,326.7716535433071,0,,10K
Y1,top,985.0393700787401,683.0708661417323,0,SMT_NX2520SA-16MHZ-STD-CSW-4,
R4,top,1693.8976377952756,605.4978346456693,0,,10K
J3,bottom,1830.708661417323,492.12598425196853,0,HDR8,
C13,top,389.6490157480315,289.37007874015745,90,,0.1uF
R1,top,443.2603937007874,289.37007874015745,90,,22
DS1,top,1349.015748031496,1520.4724409448818,90,DIP,
DS0,top,612.7952755905512,1520.4724409448818,90,DIP,
